자영업을 해요.,I’m self-employed.,"저는 자영업을 해요.","I’m self-employed.","Very common answer"
무직이에요.,I’m unemployed.,"지금은 무직이에요.","I’m currently unemployed.","Neutral; polite answer"
은퇴했어요.,I’m retired.,"작년에 은퇴했어요.","I retired last year.","Past tense commonly used"
시간제로/전일제로 일해요.,I work part-time/full-time.,"시간제로 일해요.","I work part-time.","Employment type expression"
건설 노동자,builder,"저는 건설 노동자예요.","I’m a builder.","Manual labor job"
주방장,chef,"그는 식당 주방장이에요.","He is a restaurant chef.","Head cook"
공무원,civil servant,"언니는 공무원이에요.","My sister is a civil servant.","Government employee"
IT 기술자,IT worker,"저는 IT 기술자예요.","I’m an IT worker.","Tech-related job"
판매원,salesperson,"그는 판매원이에요.","He is a salesperson.","Retail-related"
청소부,cleaner,"청소부가 바닥을 닦고 있어요.","The cleaner is mopping the floor.","Service job"
과학자,scientist,"그녀는 과학자예요.","She is a scientist.","Academic or research job"
치과 의사,dentist,"저는 치과 의사예요.","I’m a dentist.","Medical profession"
기자,journalist,"그는 기자예요.","He is a journalist.","Media-related job"
군인,soldier,"아들은 군인이에요.","My son is a soldier.","Military job"
의사,doctor,"그녀는 의사예요.","She is a doctor.","Medical profession"
변호사,lawyer,"형은 변호사예요.","My older brother is a lawyer.","Legal profession"
선생님,teacher,"저는 선생님이에요.","I’m a teacher.","Very common; respectful term"
기사,driver,"아버지는 기사예요.","My father is a driver.","Professional driver"
정비공,mechanic,"정비공이 차를 고쳐요.","The mechanic fixes the car.","Technical job"
수의사,veterinarian,"친구는 수의사예요.","My friend is a veterinarian.","Animal doctor"
전기기술자,electrician,"전기기술자를 불렀어요.","We called an electrician.","Skilled trade"
간호사,nurse,"누나는 간호사예요.","My older sister is a nurse.","Medical support job"
종업원,waiter/waitress; staff,"그는 식당 종업원이에요.","He is a restaurant staff member.","Service industry"
기술자,engineer; technician,"저는 기술자예요.","I’m an engineer.","Broad technical term"
회사원,office worker,"저는 회사원이에요.","I’m an office worker.","Very common in Korea"
농부,farmer,"할아버지는 농부예요.","My grandfather is a farmer.","Agricultural job"
배관공,plumber,"배관공을 불렀어요.","We called a plumber.","Skilled trade"
소방관,firefighter,"소방관이 불을 껐어요.","Firefighters put out the fire.","Emergency service"
경찰관,police officer,"경찰관이 도와줬어요.","A police officer helped me.","Law enforcement"
어부,fisherman,"그는 어부예요.","He is a fisherman.","Fishing-related job"
선원,sailor,"선원으로 일해요.","I work as a sailor.","Ship-related job"
사,company,"회사에서 일해요.","I work at a company.","General workplace"
공장,factory,"공장에서 일해요.","I work in a factory.","Manufacturing"
정부,government,"정부에서 일해요.","I work for the government.","Public sector"
사무실,office,"사무실에서 일해요.","I work in an office.","Office environment"
학교,school,"학교에서 일해요.","I work at a school.","Education-related"
병원,hospital,"병원에서 일해요.","I work at a hospital.","Medical setting"
식당,restaurant,"식당에서 일해요.","I work at a restaurant.","Food service"
가게,shop,"가게에서 일해요.","I work at a shop.","Retail"
호텔,hotel,"호텔에서 일해요.","I work at a hotel.","Hospitality industry"

